ID de Filme,T+AO0-tulo,Ano de Lan+AOc-amento,G+AOo-nero 1,G+AOo-nero 2,Classifica+AOcA4w-o,Dura+AOcA4w-o,Diretor,Diretor Ganhou Oscar ?,Pa+AO0-s de Origem,Or+AOc-amento (+ACQ-),Ator Principal,Ator Principal Ganhou Oscar,Avalia+AOcA4w-o IMDB,Filme Ganhou Oscar
1079,Fish Called Wanda,1988,Comedy,?,?,108,Charles Crichton,Nao,UK,7500000,John Cleese,Nao,7.6,Sim
1080,Monty Python's Life of Brian,1979,Comedy,?,18,94,Terry Jones,Nao,UK,4000000,Graham Chapman,Nao,8.1,Nao
1081,Victor/Victoria,1982,Comedy,Musical,?,132,Blake Edwards,Nao,UK,?,Julie Andrews,Sim,7.6,Sim
1082,Candidate,1972,Drama,?,14,110,Michael Ritchie,Nao,USA,?,Robert Redford,Nao,7.1,Sim
1084,Bonnie and Clyde,1967,Drama,Crime,14,111,Arthur Penn,Nao,USA,2500000,Warren Beatty,Nao,7.9,Sim
1086,Dial M for Murder,1954,Thriller,Mystery,16,105,Alfred Hitchcock,Nao,USA,1400000,Ray Milland,Sim,8.2,Nao
1088,Dirty Dancing,1987,Musical,Romance,?,100,Emile Ardolino,Nao,USA,6000000,Patrick Swayze,Nao,6.9,Sim
1089,Reservoir Dogs,1992,Thriller,Crime,18,99,Quentin Tarantino,Nao,USA,1200000,Harvey Keitel,Nao,8.3,Nao
1090,Platoon,1986,Drama,War,14,120,Oliver Stone,Sim,UK,6000000,Charlie Sheen,Nao,8.1,Sim
1091,Weekend at Bernie's,1989,Comedy,?,?,97,Ted Kotcheff,Nao,USA,?,Andrew McCarthy,Nao,6.4,Nao
1092,Basic Instinct,1992,Thriller,Mystery,18,127,Paul Verhoeven,Nao,France,49000000,Michael Douglas,Sim,6.9,Nao
1093,Doors,1991,Drama,Musical,18,140,Oliver Stone,Sim,USA,38000000,Val Kilmer,Nao,7.2,Nao
1094,Crying Game,1992,Drama,Romance,16,112,Neil Jordan,Nao,UK,?,Stephen Rea,Nao,7.3,Sim
1095,Glengarry Glen Ross,1992,Drama,?,Rated R for language,100,James Foley,Nao,USA,12500000,Al Pacino,Sim,7.8,Nao
1096,Sophie's Choice,1982,Drama,?,?,150,Alan J. Pakula,Nao,UK,12000000,Meryl Streep,Sim,7.7,Sim
1097,E.T. the Extra+AC0-Terrestrial,1982,Family,Fantasy,Livre,115,Steven Spielberg,Sim,USA,10500000,Henry Thomas,Nao,7.9,Sim
1099,Christmas Carol,1938,Drama,?,?,69,Edwin L. Marin,Nao,USA,?,Reginald Owen,Nao,7.5,Nao
1101,Top Gun,1986,Action,Romance,Livre,110,Tony Scott,Nao,USA,15000000,Tom Cruise,Nao,6.9,Sim
1103,Rebel Without a Cause,1955,Drama,?,14,111,Nicholas Ray,Nao,USA,1500000,James Dean,Nao,7.8,Nao
1104,Streetcar Named Desire,1951,Drama,?,12,122,Elia Kazan,Sim,USA,1800000,Vivien Leigh,Sim,8.0,Sim
1120,People vs. Larry Flynt,1996,Drama,?,Rated R for strong sexual materialnuditylanguage and drug use,129,Milos Forman,Sim,USA,36000000,Woody Harrelson,Nao,7.3,Nao
1124,On Golden Pond,1981,Drama,?,?,109,Mark Rydell,Nao,UK,?,Katharine Hepburn,Sim,7.7,Sim
1125,Return of the Pink Panther,1975,Comedy,?,10,113,Blake Edwards,Nao,UK,5000000,Peter Sellers,Nao,7.1,Nao
1127,Abyss,1989,Sci+AC0-Fi,Action,Livre,145,James Cameron,Sim,USA,70000000,Ed Harris,Nao,7.6,Sim
1129,Escape from New York,1981,Sci+AC0-Fi,Action,14,99,John Carpenter,Nao,UK,6000000,Kurt Russell,Nao,7.2,Nao
1135,Private Benjamin,1980,Comedy,?,R,109,Howard Zieff,Nao,USA,10000000,Goldie Hawn,Sim,6.1,Nao
1136,Monty Python and the Holy Grail,1974,Comedy,?,18,91,Terry Gilliam,Nao,UK,?,Graham Chapman,Nao,8.3,Nao
1148,Wrong Trousers,1993,Animation,Comedy,Livre,30,Nick Park,Nao,UK,?,Peter Sallis,Nao,8.4,Sim
1161,Tin Drum,1979,Drama,?,?,142,Volker Schlondorff,Nao,West Germany,?,David Bennent,Nao,7.6,Sim
1162,Ruling Class,1972,Comedy,?,?,154,Peter Medak,Nao,UK,?,Peter O'Toole,Nao,7.6,Nao
1171,Bob Roberts,1992,Comedy,?,Rated R for momentary language,102,Tim Robbins,Nao,USA,?,Tim Robbins,Sim,7.0,Nao
1172,Cinema Paradiso,1988,Drama,Romance,14,155,Giuseppe Tornatore,Nao,Italy,5000000,Philippe Noiret,Nao,8.5,Sim
1173,Cook the Thief His Wife +ACY- Her Lover,1989,Drama,?,?,124,Peter Greenaway,Nao,Netherlands,?,Richard Bohringer,Nao,7.6,Nao
1175,Delicatessen,1991,Sci+AC0-Fi,Comedy,Rated R for violence,99,Marc Caro,Nao,France,?,Marie+AC0-Laure Dougnac,Nao,7.7,Nao
1177,Enchanted April,1991,Drama,?,Rated PG for some mild language,95,Mike Newell,Nao,UK,?,Alfred Molina,Nao,7.4,Nao
1179,Grifters,1990,Drama,Crime,?,110,Stephen Frears,Nao,USA,?,Anjelica Huston,Sim,7.0,Nao
1183,English Patient,1996,Drama,Romance,16,162,Anthony Minghella,Sim,USA,27000000,Ralph Fiennes,Nao,7.4,Sim
1185,My Left Foot,1989,Drama,?,?,103,Jim Sheridan,Nao,Ireland,?,Daniel Day+AC0-Lewis,Sim,7.9,Sim
1188,Strictly Ballroom,1992,Comedy,Romance,Livre,94,Baz Luhrmann,Nao,Australia,?,Paul Mercurio,Nao,7.2,Nao
1189,Thin Blue Line,1988,Documentary,?,?,103,Errol Morris,Nao,USA,?,Randall Adams,Nao,8.1,Nao
1191,Madonna: Truth or Dare,1991,Documentary,?,Rated R for strong sexual dialogue and situations,120,Alek Keshishian,Nao,USA,4500000,Madonna,Nao,6.1,Nao
1192,Paris Is Burning,1990,Documentary,?,Rated R for language and sexuality,71,Jennie Livingston,Nao,USA,500000,Brooke Xtravaganza,Nao,8.1,Nao
1193,One Flew Over the Cuckoo's Nest,1975,Drama,?,14,133,Milos Forman,Sim,USA,4400000,Jack Nicholson,Sim,8.7,Sim
1196,Star Wars: Episode V +AC0- The Empire Strikes Back,1980,Drama,Sci+AC0-Fi,Livre,124,Irvin Kershner,Nao,USA,18000000,Mark Hamill,Nao,8.8,Sim
1197,Princess Bride,1987,Comedy,Romance,Livre,98,Rob Reiner,Nao,USA,16000000,Cary Elwes,Nao,8.1,Nao
1198,Raiders of the Lost Ark,1981,Action,Adventure,Livre,115,Steven Spielberg,Sim,USA,18000000,Harrison Ford,Nao,8.5,Sim
1199,Brazil,1985,Sci+AC0-Fi,?,14,132,Terry Gilliam,Nao,UK,15000000,Jonathan Pryce,Nao,8.0,Nao
1200,Aliens,1986,Sci+AC0-Fi,Action,14,137,James Cameron,Sim,USA,18500000,Sigourney Weaver,Nao,8.4,Sim
1203,12 Angry Men,1957,Drama,?,Livre,96,Sidney Lumet,Nao,USA,350000,Henry Fonda,Sim,8.9,Nao
1205,Transformers: The Movie,1986,Animation,Family,?,84,Nelson Shin,Nao,USA,6000000,Orson Welles,Nao,7.3,Nao
1206,Clockwork Orange,1971,Sci+AC0-Fi,?,16,136,Stanley Kubrick,Nao,UK,2200000,Malcolm McDowell,Nao,8.3,Nao
1207,To Kill a Mockingbird,1962,Drama,?,?,129,Robert Mulligan,Nao,USA,2000000,Gregory Peck,Sim,8.3,Sim
1208,Apocalypse Now,1979,Drama,War,Rated R for disturbing violent imageslanguagesexual content and some drug use,153,Francis Ford Coppola,Sim,USA,31500000,Martin Sheen,Nao,8.5,Sim
1209,Once Upon a Time in the West,1969,Western,?,14,165,Sergio Leone,Nao,Italy,5000000,Henry Fonda,Sim,8.6,Nao
1210,Star Wars: Episode VI +AC0- Return of the Jedi,1983,Sci+AC0-Fi,Action,Livre,131,Richard Marquand,Nao,USA,32500000,Mark Hamill,Nao,8.4,Nao
1212,Third Man,1949,Thriller,Mystery,14,104,Carol Reed,Sim,UK,?,Orson Welles,Nao,8.3,Sim
1213,GoodFellas,1990,Drama,Crime,14,146,Martin Scorsese,Sim,USA,25000000,Robert De Niro,Sim,8.7,Sim
1214,Alien,1979,Horror,Thriller,14,117,Ridley Scott,Nao,UK,11000000,Sigourney Weaver,Nao,8.5,Sim
1215,Army of Darkness,1992,Horror,Comedy,16,81,Sam Raimi,Nao,USA,11000000,Bruce Campbell,Nao,7.6,Nao
1218,Killer,1989,Action,Thriller,Rated R for pervasive strong violence and some language,111,John Woo,Nao,Hong Kong,?,Yun+AC0-Fat Chow,Nao,7.9,Nao
1219,Psycho,1960,Horror,Thriller,14,109,Alfred Hitchcock,Nao,USA,806947,Anthony Perkins,Nao,8.5,Nao
1220,Blues Brothers,1980,Comedy,Action,12,133,John Landis,Nao,USA,27000000,John Belushi,Nao,7.9,Nao
1221,Godfather: Part II,1974,Drama,Action,14,202,Francis Ford Coppola,Sim,USA,13000000,Al Pacino,Sim,9.0,Sim
1222,Full Metal Jacket,1987,Drama,War,16,116,Stanley Kubrick,Nao,UK,30000000,Matthew Modine,Nao,8.3,Nao
1223,Grand Day Out,1992,Animation,Short,Livre,23,Nick Park,Nao,UK,?,Peter Sallis,Nao,7.8,Nao
1225,Amadeus,1984,Drama,?,Livre,160,Milos Forman,Sim,USA,18000000,F. Murray Abraham,Sim,8.3,Sim
1226,Quiet Man,1952,Comedy,Romance,?,129,John Ford,Sim,USA,?,John Wayne,Sim,7.9,Sim
1227,Once Upon a Time in America,1984,Drama,Thriller,18,229,Sergio Leone,Nao,Italy,30000000,Robert De Niro,Sim,8.4,Nao
1228,Raging Bull,1980,Drama,?,KNT/ENA,129,Martin Scorsese,Sim,USA,18000000,Robert De Niro,Sim,8.2,Sim
1230,Annie Hall,1977,Comedy,Romance,14,93,Woody Allen,Sim,USA,4000000,Woody Allen,Nao,8.1,Sim
1231,Right Stuff,1983,Drama,?,?,193,Philip Kaufman,Nao,USA,27000000,Sam Shepard,Nao,7.9,Sim
1233,Boat,1981,Drama,War,14,149,Wolfgang Petersen,Nao,West Germany,14000000,Jurgen Prochnow,Nao,8.4,Nao
1234,Sting,1973,Comedy,Crime,Livre,129,George Roy Hill,Sim,USA,5500000,Paul Newman,Sim,8.3,Sim
1235,Harold and Maude,1971,Comedy,?,?,91,Hal Ashby,Nao,USA,1200000,Ruth Gordon,Sim,8.0,Nao
1240,Terminator,1984,Sci+AC0-Fi,Action,14,107,James Cameron,Sim,UK,6400000,Arnold Schwarzenegger,Nao,8.0,Nao
1241,Braindead,1992,Horror,Comedy,18,104,Peter Jackson,Sim,New Zealand,3000000,Timothy Balme,Nao,7.6,Nao
1242,Glory,1989,Drama,War,?,122,Edward Zwick,Nao,USA,18000000,Matthew Broderick,Nao,7.9,Sim
1243,Rosencrantz and Guildenstern Are Dead,1990,Drama,Comedy,?,117,Tom Stoppard,Nao,UK,?,Gary Oldman,Nao,7.6,Nao
1244,Manhattan,1979,Drama,Romance,12,96,Woody Allen,Sim,USA,?,Woody Allen,Nao,8.0,Nao
1245,Miller's Crossing,1990,Drama,?,KNT/ENA,115,Joel Coen,Sim,USA,14000000,Gabriel Byrne,Nao,7.8,Nao
1246,Dead Poets Society,1989,Drama,?,12,128,Peter Weir,Nao,USA,16400000,Robin Williams,Sim,8.0,Sim
1247,Graduate,1967,Drama,Romance,14,106,Mike Nichols,Sim,USA,3000000,Dustin Hoffman,Sim,8.0,Sim
1248,Touch of Evil,1958,Thriller,Crime,Rated PG+AC0-13 for some violence and drug content,95,Orson Welles,Nao,USA,829000,Charlton Heston,Sim,8.1,Nao
1249,Nikita,1990,Thriller,?,14,117,Luc Besson,Nao,France,?,Anne Parillaud,Nao,7.4,Nao
1250,Bridge on the River Kwai,1957,Drama,War,12,161,David Lean,Sim,UK,3000000,William Holden,Sim,8.2,Sim
1252,Chinatown,1974,Thriller,Mystery,12,130,Roman Polanski,Sim,USA,6000000,Jack Nicholson,Sim,8.2,Sim
1253,Day the Earth Stood Still,1951,Drama,Sci+AC0-Fi,Livre,92,Robert Wise,Sim,USA,1200000,Michael Rennie,Nao,7.8,Nao
1254,Treasure of the Sierra Madre,1948,Adventure,?,?,126,John Huston,Sim,USA,3000000,Humphrey Bogart,Sim,8.3,Sim
1256,Duck Soup,1933,Comedy,War,?,68,Leo McCarey,Sim,USA,?,Groucho Marx,Nao,8.0,Nao
1257,Better Off Dead...,1985,Comedy,?,?,97,Savage Steve Holland,Nao,USA,?,John Cusack,Nao,7.2,Nao
1258,Shining,1980,Horror,?,14,144,Stanley Kubrick,Nao,UK,19000000,Jack Nicholson,Sim,8.4,Nao
1259,Stand by Me,1986,Drama,Comedy,12,89,Rob Reiner,Nao,USA,8000000,Wil Wheaton,Nao,8.1,Nao
1260,M,1931,Thriller,Crime,O,?,117,Nao,Fritz Lang,Germany,?,Nao,Peter Lorre,8.4
1261,Evil Dead II,1987,Horror,Comedy,16,84,Sam Raimi,Nao,USA,3600000,Bruce Campbell,Nao,7.8,Nao
1262,Great Escape,1963,Adventure,War,12,172,John Sturges,Nao,USA,4000000,Steve McQueen,Nao,8.2,Nao
1263,Deer Hunter,1978,Drama,War,18,183,Michael Cimino,Sim,USA,15000000,Robert De Niro,Sim,8.2,Sim
1265,Groundhog Day,1993,Comedy,Romance,Livre,101,Harold Ramis,Nao,USA,14600000,Bill Murray,Nao,8.0,Nao
1266,Unforgiven,1992,Western,?,12,131,Clint Eastwood,Sim,USA,14400000,Clint Eastwood,Nao,8.2,Sim
1267,Manchurian Candidate,1962,Thriller,Film+AC0-Noir,PG+AC0-13,126,John Frankenheimer,Nao,USA,2200000,Frank Sinatra,Sim,8.0,Nao
1268,Pump Up the Volume,1990,Drama,?,?,102,Allan Moyle,Nao,Canada,?,Christian Slater,Nao,7.2,Nao
1269,Arsenic and Old Lace,1944,Comedy,Thriller,14,118,Frank Capra,Sim,USA,1120175,Cary Grant,Nao,8.0,Nao
1270,Back to the Future,1985,Sci+AC0-Fi,Comedy,Livre,116,Robert Zemeckis,Sim,USA,19000000,Michael J. Fox,Nao,8.5,Sim
1274,Akira,1988,Animation,Sci+AC0-Fi,14,124,Katsuhiro Otomo,Nao,Japan,?,Nozomu Sasaki,Nao,8.1,Nao
1275,Highlander,1986,Action,Adventure,14,116,Russell Mulcahy,Nao,UK,16000000,Christopher Lambert,Nao,7.2,Nao
1276,Cool Hand Luke,1967,Drama,Comedy,?,126,Stuart Rosenberg,Nao,USA,3200000,Paul Newman,Sim,8.2,Sim
1277,Cyrano de Bergerac,1990,Drama,Romance,?,137,Jean+AC0-Paul Rappeneau,Nao,France,?,Gerard Depardieu,Nao,7.6,Sim
1278,Young Frankenstein,1974,Horror,Comedy,Livre,106,Mel Brooks,Nao,USA,2800000,Gene Wilder,Nao,8.0,Nao
1279,Night on Earth,1991,Drama,Comedy,Rated R for violencelanguageand some drug use,129,Jim Jarmusch,Nao,France,3500000,Winona Ryder,Nao,7.8,Nao
1280,Raise the Red Lantern,1991,Drama,?,?,125,Yimou Zhang,Nao,China,?,Li Gong,Nao,8.2,Nao
1281,Great Dictator,1940,Comedy,?,Livre,125,Charles Chaplin,Sim,USA,2000000,Charles Chaplin,Sim,8.5,Nao
1282,Fantasia,1940,Animation,Family,Livre,124,James Algar (uncredited),Nao,USA,2280000,Leopold Stokowski,Nao,7.8,Nao
1283,High Noon,1952,Western,?,12,85,Fred Zinnemann,Sim,USA,730000,Gary Cooper,Sim,8.0,Sim
1284,Big Sleep,1946,Film+AC0-Noir,Mystery,?,114,Howard Hawks,Nao,USA,250000,Humphrey Bogart,Sim,8.0,Nao
1286,Somewhere in Time,1980,Drama,Romance,Livre,103,Jeannot Szwarc,Nao,USA,5100000,Christopher Reeve,Nao,7.3,Nao
1287,Ben+AC0-Hur,1959,Drama,Action,12,212,William Wyler,Sim,USA,15900000,Charlton Heston,Sim,8.1,Sim
1288,This Is Spinal Tap,1984,Drama,Comedy,?,82,Rob Reiner,Nao,USA,2500000,Rob Reiner,Nao,8.0,Nao
1291,Indiana Jones and the Last Crusade,1989,Action,Adventure,Livre,127,Steven Spielberg,Sim,USA,48000000,Harrison Ford,Nao,8.3,Sim
1292,Being There,1979,Comedy,?,?,130,Hal Ashby,Nao,USA,?,Peter Sellers,Nao,8.0,Sim
1293,Gandhi,1982,Drama,?,14,191,Richard Attenborough,Sim,UK,22000000,Ben Kingsley,Sim,8.1,Sim
1294,M+ACo-A+ACo-S+ACo-H,1970,Comedy,War,Rated R for sexual content,116,Robert Altman,Nao,USA,3500000,Donald Sutherland,Nao,7.6,Sim
1296,Room with a View,1985,Drama,Romance,?,117,James Ivory,Nao,UK,3000000,Maggie Smith,Sim,7.4,Sim
1297,Real Genius,1985,Comedy,?,?,108,Martha Coolidge,Nao,USA,?,Val Kilmer,Nao,7.0,Nao
1299,Killing Fields,1984,Drama,War,?,141,Roland Joffe,Nao,UK,?,Sam Waterston,Nao,7.9,Sim
1300,My Life as a Dog,1985,Drama,?,?,101,Lasse Hallstrom,Nao,Sweden,?,Anton Glanzelius,Nao,7.7,Nao
1301,Forbidden Planet,1956,Sci+AC0-Fi,?,Livre,98,Fred M. Wilcox (as Fred McLeod Wilcox),Nao,USA,1900000,Walter Pidgeon,Nao,7.7,Nao
1302,Field of Dreams,1989,Drama,?,Livre,107,Phil Alden Robinson,Nao,USA,?,Kevin Costner,Nao,7.5,Nao
1303,Man Who Would Be King,1975,Adventure,?,?,129,John Huston,Sim,UK,8000000,Sean Connery,Sim,7.9,Nao
1304,Butch Cassidy and the Sundance Kid,1969,Comedy,Action,12,110,George Roy Hill,Sim,USA,6000000,Paul Newman,Sim,8.1,Sim
1307,When Harry Met Sally...,1989,Comedy,Romance,?,96,Rob Reiner,Nao,USA,16000000,Billy Crystal,Nao,7.6,Nao
1320,Alien+//0A7//9AL7//QCz-,1992,Horror,Thriller,16,114,David Fincher,Nao,USA,50000000,Sigourney Weaver,Nao,6.4,Nao
1321,American Werewolf in London,1981,Horror,?,12,97,John Landis,Nao,UK,10000000,David Naughton,Nao,7.6,Sim
1327,Amityville Horror,1979,Horror,?,?,117,Stuart Rosenberg,Nao,USA,4700000,James Brolin,Nao,6.2,Nao
1333,Birds,1963,Horror,?,14,119,Alfred Hitchcock,Nao,USA,2500000,Rod Taylor,Nao,7.7,Nao
1334,Blob,1958,Horror,Sci+AC0-Fi,?,86,Irvin S. Yeaworth Jr.,Nao,USA,240000,Steve McQueen,Nao,6.4,Nao
1337,Body Snatcher,1945,Horror,?,?,115,Philip Kaufman,Nao,USA,3500000,Donald Sutherland,Nao,7.4,Nao
1339,Bram Stoker's Dracula,1992,Horror,Romance,14,128,Francis Ford Coppola,Sim,USA,40000000,Gary Oldman,Nao,7.5,Sim
1340,Bride of Frankenstein,1935,Horror,?,Livre,75,James Whale,Nao,USA,397024,Boris Karloff,Nao,7.9,Nao
1343,Cape Fear,1991,Thriller,?,16,128,Martin Scorsese,Sim,USA,35000000,Robert De Niro,Sim,7.3,Nao
1344,Cape Fear,1962,Thriller,Film+AC0-Noir,KNT/ENA,105,J. Lee Thompson,Nao,USA,?,Gregory Peck,Sim,7.8,Nao
1345,Carrie,1976,Horror,?,16,98,Brian De Palma,Nao,USA,1800000,Sissy Spacek,Sim,7.4,Nao
1347,Nightmare on Elm Street,1984,Horror,?,18,91,Wes Craven,Nao,USA,1800000,Heather Langenkamp,Nao,7.5,Nao
1350,Omen,1976,Horror,?,16,111,Richard Donner,Nao,UK,2800000,Gregory Peck,Sim,7.6,Sim
1356,Star Trek: First Contact,1996,Sci+AC0-Fi,Action,Livre,111,Jonathan Frakes,Nao,USA,45000000,Patrick Stewart,Nao,7.6,Nao
1358,Sling Blade,1996,Drama,Thriller,Rated R for strong language including descriptions of violent and sexual behavior,135,Billy Bob Thornton,Nao,USA,890000,Billy Bob Thornton,Nao,8.0,Sim
1363,Preacher's Wife,1996,Drama,?,Rated PG for brief mild language,123,Penny Marshall,Nao,USA,40000000,Denzel Washington,Sim,5.5,Nao
1366,Crucible,1996,Drama,?,12,124,Nicholas Hytner,Nao,USA,25000000,Daniel Day+AC0-Lewis,Sim,6.8,Nao
1367,101 Dalmatians,1996,Family,Comedy,Livre,103,Stephen Herek,Nao,USA,75000000,Glenn Close,Nao,5.6,Nao
1370,Die Hard 2,1990,Action,Thriller,14,124,Renny Harlin,Nao,USA,70000000,Bruce Willis,Nao,7.1,Nao
1371,Star Trek: The Motion Picture,1979,Sci+AC0-Fi,Action,Livre,132,Robert Wise,Sim,USA,35000000,William Shatner,Nao,6.4,Nao
1372,Star Trek VI: The Undiscovered Country,1991,Sci+AC0-Fi,Action,Livre,113,Nicholas Meyer,Nao,USA,30000000,William Shatner,Nao,7.2,Nao
1373,Star Trek V: The Final Frontier,1989,Sci+AC0-Fi,Action,Livre,107,William Shatner,Nao,USA,27800000,William Shatner,Nao,5.4,Nao
1374,Star Trek: The Wrath of Khan,1982,Sci+AC0-Fi,Action,Livre,113,Nicholas Meyer,Nao,USA,11200000,William Shatner,Nao,7.7,Nao
1375,Star Trek III: The Search for Spock,1984,Sci+AC0-Fi,Action,Livre,105,Leonard Nimoy,Nao,USA,17000000,William Shatner,Nao,6.6,Nao
1376,Star Trek IV: The Voyage Home,1986,Sci+AC0-Fi,Action,Livre,119,Leonard Nimoy,Nao,USA,25000000,William Shatner,Nao,7.3,Nao
1377,Batman Returns,1992,Comedy,Action,12,126,Tim Burton,Nao,USA,80000000,Michael Keaton,Nao,7.0,Nao
1378,Young Guns,1988,Comedy,Action,?,107,Christopher Cain,Nao,USA,13000000,Emilio Estevez,Nao,6.8,Nao
1379,Young Guns II,1990,Comedy,Action,?,104,Geoff Murphy,Nao,USA,20000000,Emilio Estevez,Nao,6.4,Nao
1380,Grease,1978,Comedy,Romance,12,110,Randal Kleiser,Nao,USA,6000000,John Travolta,Nao,7.2,Nao
1385,Under Siege,1992,Action,?,Rated R for strong violence and for language and brief nudity,103,Andrew Davis,Nao,France,35000000,Steven Seagal,Nao,6.4,Nao
1387,Jaws,1975,Horror,Action,14,124,Steven Spielberg,Sim,USA,8000000,Roy Scheider,Nao,8.0,Sim
1391,Mars Attacks+ACE-,1996,Sci+AC0-Fi,Action,14,106,Tim Burton,Nao,USA,70000000,Jack Nicholson,Sim,6.3,Nao
1392,Citizen Ruth,1996,Drama,Comedy,Rated R for substance abusestrong language and a sex scene,106,Alexander Payne,Nao,USA,3000000,Laura Dern,Nao,7.0,Nao
1393,Jerry Maguire,1996,Drama,Romance,Rated R for language and sexuality,139,Cameron Crowe,Nao,USA,50000000,Tom Cruise,Nao,7.3,Sim
1394,Raising Arizona,1987,Comedy,?,12,94,Joel Coen,Sim,USA,6000000,Nicolas Cage,Sim,7.4,Nao
1395,Tin Men,1987,Drama,Comedy,14,112,Barry Levinson,Sim,USA,11000000,Richard Dreyfuss,Sim,6.5,Nao
1396,Sneakers,1992,Drama,Sci+AC0-Fi,Rated PG+AC0-13 for brief sexual references,126,Phil Alden Robinson,Nao,USA,35000000,Robert Redford,Nao,7.1,Nao
1401,Ghosts of Mississippi,1996,Drama,?,Rated PG+AC0-13 for a strong scene of violence and for racial dialogue,130,Rob Reiner,Nao,USA,36000000,Alec Baldwin,Nao,6.7,Nao
1405,Beavis and Butt+AC0-head Do America,1996,Animation,Comedy,Rated PG+AC0-13 for continuous crude sex+AC0-related humor and language and for a drug+AC0-related scene,81,Mike Judge,Nao,USA,12000000,Mike Judge,Nao,6.8,Nao
1407,Scream,1996,Horror,Thriller,12,111,Wes Craven,Nao,USA,14000000,Neve Campbell,Nao,7.2,Nao
1408,Last of the Mohicans,1992,Action,War,12,112,Michael Mann,Nao,USA,40000000,Daniel Day+AC0-Lewis,Sim,7.8,Sim
1409,Michael,1996,Comedy,Romance,Rated PG for a mild barroom brawlsome language and sensuality,105,Nora Ephron,Nao,USA,?,John Travolta,Nao,5.7,Nao
1414,Mother,1996,Comedy,?,Rated PG+AC0-13 for some sexual references,104,Albert Brooks,Nao,USA,?,Albert Brooks,Nao,6.9,Nao
1416,Evita,1996,Drama,Musical,Rated PG for thematic elementsimages of violence and some mild language,135,Alan Parker,Nao,USA,55000000,Madonna,Nao,6.3,Sim
1422,Murder at 1600,1997,Thriller,Mystery,Rated R for sexualityviolence and some language,107,Dwight H. Little (as Dwight Little),Nao,USA,?,Wesley Snipes,Nao,6.1,Nao
1425,Fierce Creatures,1997,Comedy,?,Rated PG+AC0-13 for sexual innuendo and language,93,Fred Schepisi,Nao,UK,25000000,John Cleese,Nao,6.4,Nao
1428,Angel Baby,1995,Drama,?,Rated R for strong sexualitylanguage and a traumatic childbirth,105,Michael Rymer,Nao,Australia,?,John Lynch,Nao,7.2,Nao
1429,Jackie Chan's First Strike,1996,Action,?,Rated PG+AC0-13 for plentiful action/violence,107,Stanley Tong,Nao,Hong Kong,?,Jackie Chan,Nao,6.6,Nao
1431,Beverly Hills Ninja,1997,Comedy,Action,Rated PG+AC0-13 for sex related humor martial arts violence and a humerous drug related scene,88,Dennis Dugan,Nao,USA,?,Chris Farley,Nao,5.5,Nao
1432,Metro,1997,Action,?,Rated R for strong violence and language,117,Thomas Carter,Nao,USA,55000000,Eddie Murphy,Nao,5.5,Nao
1438,Dante's Peak,1997,Action,Thriller,Rated PG+AC0-13 for disaster related peril and gore,108,Roger Donaldson,Nao,USA,116000000,Pierce Brosnan,Nao,5.9,Nao
1441,Benny +ACY- Joon,1993,Comedy,Romance,Rated PG for theme a scene of mild sensuality and one use of harsh language,98,Jeremiah S. Chechik (as Jeremiah Chechik),Nao,USA,?,Johnny Depp,Nao,7.2,Nao
1446,Kolya,1996,Comedy,?,Rated PG+AC0-13 for some sensuality,105,Jan Sverak,Nao,Czech Republic,?,Zdenek Sverak,Nao,7.8,Sim
1449,Waiting for Guffman,1996,Comedy,?,Rated R for brief strong language,84,Christopher Guest,Nao,USA,4000000,Christopher Guest,Nao,7.6,Nao
1450,Prisoner of the Mountains,1996,War,?,Rated R for some violence and language,99,Sergei Bodrov (as Sergey Bodrov),Nao,Russia,?,Oleg Menshikov,Nao,7.7,Nao
1459,Absolute Power,1997,Thriller,Mystery,Rated R for violencesexuality and language,121,Clint Eastwood,Sim,USA,50000000,Clint Eastwood,Nao,6.7,Nao
1461,Vegas Vacation,1997,Comedy,?,Rated PG for sensualitylanguage and thematic elements,93,Stephen Kessler,Nao,USA,25000000,Chevy Chase,Nao,5.9,Nao
1463,That Old Feeling,1997,Comedy,Romance,Rated PG+AC0-13 for language and sex+AC0-related material,105,Carl Reiner,Nao,USA,?,Bette Midler,Nao,6.1,Nao
1464,Lost Highway,1997,Mystery,?,12,134,David Lynch,Nao,France,15000000,Bill Pullman,Nao,7.6,Nao
1465,Rosewood,1997,Drama,?,Rated R for violence and some sexuality,140,John Singleton,Nao,USA,25000000,Jon Voight,Sim,7.2,Nao
1466,Donnie Brasco,1997,Drama,Crime,16,127,Mike Newell,Nao,USA,35000000,Al Pacino,Sim,7.8,Nao
1476,Private Parts,1997,Drama,Comedy,Rated R for strong language nudity and crude sexual humor,109,Betty Thomas,Nao,USA,20000000,Howard Stern,Nao,6.8,Nao
1477,Love Jones,1997,Romance,?,Rated R for language and sexuality,104,Theodore Witcher,Nao,USA,10000000,Larenz Tate,Nao,7.4,Nao
1479,Saint,1997,Action,Romance,12,116,Phillip Noyce,Nao,USA,68000000,Val Kilmer,Nao,6.2,Nao
1485,Liar Liar,1997,Comedy,?,Livre,86,Tom Shadyac,Nao,USA,45000000,Jim Carrey,Nao,6.8,Nao
